,AcerNTCP4a_S290_L001,Apal257_S375_L001,Apal270_S378_L001,Apal288_S373_L001,Apal297_S383_L001,Apal305_S384_L001,Apal307_S381_L001,Apal313_S376_L001,Apal315_S374_L001,Apal350_S382_L001,Apal353_S380_L001,Apal367_S377_L001,Apal380_S379_L001
Otu001,0,129,16138,7671,493,6,667,58,332,0,12366,25,2213
Otu005,0,19,20,28,0,0,0,351,121,36,450,110,31
Otu006,0,0,0,371,0,0,0,0,0,0,0,0,0
Otu008,28,0,0,36,0,0,0,39,13,0,25,0,5
Otu009,0,70,0,10,0,0,0,0,0,0,48,0,11
Otu010,0,0,0,14,0,0,0,37,85,0,0,0,0
Otu011,0,0,0,0,0,0,0,49,74,0,16,42,0
Otu012,0,0,0,0,0,0,0,114,0,0,0,0,0
Otu013,0,0,0,0,0,0,0,48,47,0,0,0,0
Otu014,0,0,0,0,0,0,0,48,0,0,27,0,0
Otu016,13,0,0,35,0,0,0,0,12,0,7,7,0
Otu017,15,23,0,22,0,0,0,0,0,7,5,0,0
Otu018,0,0,0,0,0,0,0,19,0,0,49,0,0
Otu020,0,22,0,15,0,0,0,27,0,0,0,0,0
Otu021,0,0,0,0,0,0,0,34,27,0,0,0,0
Otu022,0,0,0,0,0,0,0,0,60,0,0,0,0
Otu023,0,0,0,0,0,0,0,36,18,0,0,0,5
Otu024,0,0,0,0,0,0,0,80,0,0,0,0,0
Otu025,24,20,0,0,0,0,0,0,0,0,7,0,0
Otu026,0,0,0,0,0,0,0,51,0,0,0,0,0
Otu027,0,0,0,0,0,0,0,26,0,0,25,0,0
Otu028,0,0,0,0,0,0,0,24,27,0,0,0,0
Otu029,0,0,0,0,0,0,0,0,47,0,0,0,0
Otu030,0,0,5,0,0,0,0,0,41,0,0,0,0
Otu032,0,0,0,0,0,0,0,0,0,0,0,44,0
Otu034,0,0,0,0,0,0,0,42,0,0,0,0,0
Otu035,0,0,0,0,0,0,0,40,0,0,0,0,0
Otu036,0,0,0,0,0,0,0,0,40,0,0,0,0
Otu037,0,0,0,0,0,0,0,0,39,0,0,0,0
Otu038,0,0,0,0,0,0,0,0,38,0,0,0,0
Otu039,0,0,0,0,0,0,0,0,38,0,0,0,0
Otu040,0,0,0,14,0,0,0,0,0,0,0,23,0
Otu041,0,0,0,0,0,0,0,15,22,0,0,0,0
Otu042,0,0,0,0,0,0,0,0,36,0,0,0,0
Otu043,0,0,0,0,0,0,0,0,18,0,10,8,0
Otu044,0,0,0,0,0,0,0,0,35,0,0,0,0
Otu045,0,0,0,33,0,0,0,0,0,0,0,0,0
Otu046,0,0,0,28,5,0,0,0,0,0,0,0,0
Otu047,32,0,0,0,0,0,0,0,0,0,0,0,0
Otu048,0,0,0,0,0,0,0,32,0,0,0,0,0
Otu049,0,0,0,0,0,0,0,32,0,0,0,0,0
Otu050,0,0,0,0,0,0,0,14,7,0,10,0,0
Otu051,0,17,0,0,0,0,0,12,0,0,0,0,0
Otu053,0,0,0,0,0,0,0,0,29,0,0,0,0
Otu054,0,0,11,0,0,0,0,17,0,0,0,0,0
Otu055,0,0,0,0,0,0,0,0,28,0,0,0,0
Otu056,0,0,0,0,0,0,0,27,0,0,0,0,0
Otu057,0,0,0,0,0,0,0,27,0,0,0,0,0
Otu058,0,0,0,0,0,0,0,0,17,0,10,0,0
Otu059,0,0,5,0,0,0,0,12,0,0,9,0,0
Otu060,0,0,0,0,0,0,0,0,26,0,0,0,0
Otu061,0,0,0,0,0,0,0,26,0,0,0,0,0
Otu062,0,0,0,25,0,0,0,0,0,0,0,0,0
Otu063,0,0,0,0,0,0,0,25,0,0,0,0,0
Otu064,0,0,0,0,0,0,0,0,44,0,0,0,0
