"","Genus","Species"
"Otu001",NA,NA
"Otu002",NA,NA
"Otu003",NA,NA
"Otu005","Sagittula","stellata"
"Otu006",NA,NA
"Otu007",NA,NA
"Otu008","Bacillus","marmarensis/pseudofirmus"
"Otu009",NA,NA
"Otu010","Staphylococcus","argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/schweitzeri/simiae/warneri"
"Otu011",NA,NA
"Otu013",NA,"algicola/aquimaris/beolgyonensis/gallaeciensis/gilvus/guttiformis/litoralis/pseudonitzschiae"
"Otu014","Haemophilus","influenzae/parainfluenzae"
"Otu016","Pseudomonas","aeruginosa/alkylphenolica/argentinensis/benzenivorans/cremoricolorata/cuatrocienegasensis/flavescens/fluorescens/fulva/glareae/hunanensis/mendocina/monteilii/mosselii/oryzihabitans/parafulva/plecoglossicida/punonensis/putida/segetis/seleniipraecipitans/soli/straminea/taiwanensis"
"Otu017",NA,"altitudinis/amyloliquefaciens/anthracis/bingmayongensis/bombysepticus/cereus/coagulans/cytotoxicus/firmus/gaemokensis/licheniformis/manliponensis/megaterium/meqaterium/mycoides/nealsonii/oryzaecorticis/phage/pneumoniae/pseudomycoides/pumilus/salmalaya/samanii/subtilis/thuringiensis/toyonensis/weihenstephanensis/wiedmannii"
"Otu018",NA,NA
"Otu020",NA,NA
"Otu021",NA,NA
"Otu022",NA,NA
"Otu023",NA,NA
"Otu024",NA,NA
"Otu025",NA,NA
"Otu026","Halomonas","boliviensis/campaniensis/chromatireducens/denitrificans/desiderata/huangheensis/kenyensis/nitrilicus/nitritophilus/pacifica/phoceae/qiaohouensis/saccharevitans/salifodinae/salina/urumqiensis/ventosae"
"Otu027","Acinetobacter","baumannii/bouvetii/haemolyticus/johnsonii/junii/lwoffii/oleivorans/oryzae/schindleri"
"Otu028",NA,NA
"Otu029",NA,NA
"Otu030",NA,NA
"Otu031",NA,NA
"Otu032",NA,NA
