"","AcerNTCP4a_S290_L001","Apal257_S375_L001","Apal270_S378_L001","Apal288_S373_L001","Apal297_S383_L001","Apal305_S384_L001","Apal307_S381_L001","Apal313_S376_L001","Apal315_S374_L001","Apal350_S382_L001","Apal353_S380_L001","Apal367_S377_L001","Apal380_S379_L001"
"AcerNTCP4a_S290_L001",0,0.727310602615372,0.837186018161002,0.74071662374056,0.762653291567854,0.756094223438569,0.768738879003559,0.906572451056683,0.9106403468325,0.620129648160003,0.797854834025802,0.81636792297448,0.686990577673792
"Apal257_S375_L001",0.727310602615372,0,0.614012003201371,0.651700901532021,0.822052269569378,0.795510664851711,0.824155946263146,0.738789075017144,0.781175617065454,0.654314044785851,0.652004768976819,0.680993159510783,0.537856899355639
"Apal270_S378_L001",0.837186018161002,0.614012003201371,0,0.708414964756913,0.811281693126972,0.82161603863963,0.813215162998531,0.730472192656991,0.735437715556559,0.781199010346814,0.685380518663076,0.676574983804794,0.625889883394189
"Apal288_S373_L001",0.74071662374056,0.651700901532021,0.708414964756913,0,0.740051256715865,0.819546476378125,0.762553924762011,0.753115556670559,0.759250629052615,0.672148915253616,0.640521962354839,0.701835311524277,0.594780097913491
"Apal297_S383_L001",0.762653291567854,0.822052269569378,0.811281693126972,0.740051256715865,0,0.40655463477475,0.152127083841803,0.912978362296453,0.927545944129698,0.707205757776742,0.853693288904302,0.851672882105304,0.723062911901803
"Apal305_S384_L001",0.756094223438569,0.795510664851711,0.82161603863963,0.819546476378125,0.40655463477475,0,0.429322905110569,0.9151336585322,0.933380850558327,0.698817887057552,0.871752864652412,0.830487675399935,0.675758262725873
"Apal307_S381_L001",0.768738879003559,0.824155946263146,0.813215162998531,0.762553924762011,0.152127083841803,0.429322905110569,0,0.913381328358276,0.927825504853286,0.714973374842582,0.854828755979609,0.853137386455017,0.72812476601967
"Apal313_S376_L001",0.906572451056683,0.738789075017144,0.730472192656991,0.753115556670559,0.912978362296453,0.9151336585322,0.913381328358276,0,0.64562286286175,0.880242252634891,0.667014452686742,0.750051608674171,0.79439538092575
"Apal315_S374_L001",0.9106403468325,0.781175617065454,0.735437715556559,0.759250629052615,0.927545944129698,0.933380850558327,0.927825504853286,0.64562286286175,0,0.895692996270826,0.74109753099149,0.759525690757321,0.83111289942142
"Apal350_S382_L001",0.620129648160003,0.654314044785851,0.781199010346814,0.672148915253616,0.707205757776742,0.698817887057552,0.714973374842582,0.880242252634891,0.895692996270826,0,0.796506394647029,0.76880655625747,0.495820758589053
"Apal353_S380_L001",0.797854834025802,0.652004768976819,0.685380518663076,0.640521962354839,0.853693288904302,0.871752864652412,0.854828755979609,0.667014452686742,0.74109753099149,0.796506394647029,0,0.690026210314538,0.678121634051829
"Apal367_S377_L001",0.81636792297448,0.680993159510783,0.676574983804794,0.701835311524277,0.851672882105304,0.830487675399935,0.853137386455017,0.750051608674171,0.759525690757321,0.76880655625747,0.690026210314538,0,0.690016448386555
"Apal380_S379_L001",0.686990577673792,0.537856899355639,0.625889883394189,0.594780097913491,0.723062911901803,0.675758262725873,0.72812476601967,0.79439538092575,0.83111289942142,0.495820758589053,0.678121634051829,0.690016448386555,0
